bidder_id,outcome,payment_account_prefix_same_as_address_prefix,address_10892096f6d88d7449a249e831bfc8d8,address_111d4514cb2db9cc0aaf1ae65b39e70a,address_18efe9aa2a264f71020ed46242cab513,address_2367520c8d94e70f47f4e28e72004ef9,address_26108bd7fdfd14d2b7bf24aec40d86b2,address_274a03538f87ee7ec8b091da1c4fa8fc,address_2a96c3ce94b3be921e0296097b88b56a,address_2cf1e0523f43138fd65eebb2c8cb4b73,address_3a0b8057e5a900d872232c62a7f4c120,address_3a7e6a32b24aeab0688e91a41f3188e2,address_3ee4b535441c1b35d3f9aa3f7ed5ab88,address_4544d31a6d8a15cdee64e7dafbc63e6d,address_4a28d0cf109896236a89b2a1ab33b50c,address_4d90f2e709f1fc0810e5aef472dd3935,address_5c9de1da50cc32a29ffd596ae24cd2be,address_63ce78587e427547c60b44e54d51a4c9,address_7578f951008bd0b64528bf81b8578d5d,address_794abfcfc9a51569c6415a61a319b352,address_8c7fc2ee1e693a7f6e0c986c7375e0fc,address_8db1dcb1ae23a9b13d2a7f36bc991f00,address_91ea8f05b2be1f7fe36e86e20ea35105,address_937e24e5329b1758d1180c3b83041b1b,address_a3d2de7675556553a5f08e4c88d2c228,address_a71773a409dd8baba89ac1c7b4e4523a,address_aa497a035e67fdde98e547c22102646d,address_b16a6b39a27e215e5d571472485ef08e,address_b1abeeedc3163ca5d0df0eecbe6923d0,address_b312117de5aeb80a49c753f562c4b2d3,address_b650404e1ab5d177020221277c3e9306,address_b9b03d5a127eb07aeb9163cdcf524e13,address_c00ae99c1ef4854bd838c9648ea6eb51,address_c047e4d26a46f9fb919883da4ee2adef,address_c0688655078b9fd63d343bd4ae21194e,address_c268ac47bde5354c290a7374b3dd1c41,address_c4b65a7ef32586d7f9a711f867d3f54b,address_c6a1c9967d64e7f99ee545c2a5467960,address_c94cf5c3c5205afe0ef14ce669e01565,address_ca8d4b018cb62966eebb2974f5a83b4f,address_cb8cab3337c5bc1bb96ccfb18d6a62f7,address_ce0b318902ae2a4f5cc4023cea883d00,address_d204ba7ab87c1efb88e93a824efc926a,address_dbd1190dd19462115568e721afba7801,address_e00c0bbaf904d8155da1f1fc85af7434,address_e048f5d50823df461686fde13a25d287,address_e23d9777cddc347de82d839b2e54b22e,address_e350bda3ceb6067cad400ae931c3527a,address_e9ac7750d73a796460f96b096b29725f,address_eb0d036dc33a16ce54296758f96b9d0b,address_efed968be472133f24bd70f9412c156d,address_f3b1e4c7e5f5337ab0ff0d66aee32686,address_fa442b098896fe3f9aca16a6f100e597,address_fb5f20b04f48113f484f73988d44a09a,address_infrequent_address,address_rare_address,payment_account_0875307e1731af94b3b64725ad0deb7d,payment_account_0f244480cd73688fab682a82aa37a587,payment_account_1b53c9a459d6cae0a015df2bc2a6ed7f,payment_account_3e9073fb9219ceb4a1dc9dbb9e1acbe9,payment_account_474f441d0c8f8416be60291872926cd5,payment_account_4a347e6808ca4bd52f2f21a759e1beb2,payment_account_5a8c8865eaf65dc094a6bd9d6e7007cf,payment_account_7df4ebd184668b4257f740b11d4519af,payment_account_a0dc95936282ff8eef7ffa54f295255c,payment_account_a27bbbfe50ced2566f17d94553ec7b6b,payment_account_a3d2de7675556553a5f08e4c88d2c228,payment_account_af6c260faf0b9df48f2155e38b0a29e6,payment_account_b35a1080bb5f0ebb4212508b92c7196c,payment_account_bb97065ca7b313ebbee43f495d6f67a0,payment_account_c9274731b884ef7495041d62d4ec512e,payment_account_c9ef8f9c82a24602bca4f1fc4e69fd61,payment_account_dab1ae58a15b808c63d8dfcf734f5ee3,payment_account_infrequent_account,payment_account_rare_account,bids_per_auction_per_ip_entropy_median,bids_per_auction_per_ip_entropy_mean,ips_per_bidder_per_auction_median,ips_per_bidder_per_auction_mean,only_one_user,ip_only_one_user_counts,on_ip_that_has_a_bot,on_ip_that_has_a_bot_mean,ip_entropy,dt_change_ip_median,dt_same_ip_median,num_first_bid,short,t_until_end_median,t_since_start_median,0_hour72,1_hour72,2_hour72,3_hour72,4_hour72,5_hour72,6_hour72,7_hour72,8_hour72,9_hour72,10_hour72,11_hour72,12_hour72,13_hour72,14_hour72,15_hour72,16_hour72,17_hour72,18_hour72,19_hour72,20_hour72,21_hour72,22_hour72,23_hour72,24_hour72,25_hour72,26_hour72,27_hour72,28_hour72,29_hour72,30_hour72,31_hour72,32_hour72,33_hour72,34_hour72,35_hour72,36_hour72,37_hour72,38_hour72,39_hour72,40_hour72,41_hour72,42_hour72,43_hour72,44_hour72,45_hour72,46_hour72,47_hour72,48_hour72,49_hour72,50_hour72,51_hour72,52_hour72,53_hour72,54_hour72,55_hour72,56_hour72,57_hour72,58_hour72,59_hour72,60_hour72,61_hour72,62_hour72,63_hour72,64_hour72,65_hour72,66_hour72,67_hour72,68_hour72,69_hour72,70_hour72,71_hour72,max_bids_in_hour72,sleep,dt_others_median,f_dt_others_lt_cutoff,dt_self_median,dt_self_min,monday,tuesday,wednesday,balance,s_monday,s_tuesday,s_wednesday,f_monday,f_tuesday,f_wednesday,bids_per_auction_median,bids_per_auction_mean,n_bids,n_urls,n_bids_url,f_urls,13tdx9x3c4du6tr,1tjpqb3mqacsct0,2l309145ivgdy6r,301o49axv6udhkl,3ir1yiophclnlyj,d75il608kel7ote,i695h0p5uj10gmq,pw7hob3wyniyp5j,q5draunzzjr7wc2,szyjr65zi6h3qbz,vasstdc27m7nks3,ya0vpnuq1shnign,url_entropy,countries_per_bidder_per_auction_median,countries_per_bidder_per_auction_mean,countries_per_bidder_per_auction_max,most_common_country,ad,ae,af,ag,al,am,an,ao,ar,at,au,aw,az,ba,bb,bd,be,bf,bg,bh,bi,bj,bm,bn,bo,br,bs,bt,bw,by,bz,ca,cd,cf,cg,ch,ci,cl,cm,cn,co,cr,cv,cy,cz,de,dj,dk,dm,do,dz,ec,ee,eg,er,es,et,eu,fi,fj,fo,fr,ga,gb,ge,gh,gi,gl,gm,gn,gp,gq,gr,gt,gu,gy,hk,hn,hr,ht,hu,id,ie,il,in,iq,ir,is,it,je,jm,jo,jp,ke,kg,kh,kr,kw,kz,la,lb,li,lk,lr,ls,lt,lu,lv,ly,ma,mc,md,me,mg,mh,mk,ml,mm,mn,mo,mp,mr,mt,mu,mv,mw,mx,my,mz,na,nc,ne,ng,ni,nl,no,np,nz,om,pa,pe,pf,pg,ph,pk,pl,pr,ps,pt,py,qa,re,ro,rs,ru,rw,sa,sb,sc,sd,se,sg,si,sk,sl,sn,so,sr,sv,sy,sz,tc,td,tg,th,tj,tl,tm,tn,tr,tt,tw,tz,ua,ug,uk,us,uy,uz,vc,ve,vi,vn,ws,ye,za,zm,zw,zz,auto parts,books and music,clothing,computers,furniture,home goods,jewelry,mobile,office equipment,sporting goods
91a3c57b13234af24875c56fb7e2b2f4rb56a,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.038508177,1,1.333333333,0.2,0.2,1,0.4,49.8149161,3.46E+11,-1,0,1,5.96E+12,4.49E+12,0,0,0,0.333333333,0,0,0,0.333333333,0,0.333333333,0,0,0,0.333333333,0.666666667,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0.666666667,0,0,0,0,0.666666667,0,0.333333333,0,0,0,0.333333333,0,0.333333333,0.333333333,1,0,0.333333333,0,0,0,0.333333333,3,TRUE,8105263158,0.043478261,3.46E+11,5210526316,7,12,5,-1.486058891,0.583333333,1,0.416666667,0.291666667,0.5,0.208333333,1,1.333333333,24,1,24,0.041666667,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.166666667,2,ke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846154,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846154,0,0,0,0,0,0,0,0,1,0,0,0
624f258b49e77713fc34034560f93fb3hu3jo,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.693147181,0.693147181,3,3,0.5,0.5,0,0,0.693147181,3.23E+12,-1,0,1,6.85E+12,6.79E+12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,52631578,0.666666667,3.23E+12,1.99E+12,0,2,1,-0.693147181,0,1,0.5,0,0.666666667,0.333333333,3,3,3,2,3,0.666666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.693147181,1,1,1,id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1c5f4fc669099bfbfac515cd26997bd12ruaj,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1.791759469,2.53E+12,-1,0,1,3.06E+12,7.71E+12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,TRUE,12236842104,0,2.53E+12,1.45E+12,0,1,3,-1.098612289,0,0.333333333,1,0,0.25,0.75,1,1,4,2,4,0.5,0,0,0,0,0,0,0,0,0,0,0.75,0,1.098612289,1,1,1,id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4bee9aba2abda51bf43d639013d6efe12iycd,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,-1,-1,0,0,2.77E+12,7.45E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,17368421052,0,,,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,my,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4ab12bc61c82ddd9c2d65e60555808acqgos1,0,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.32439911,2,5.608695652,0.323144105,0.323144105,1,0.260162602,601.0290792,15473684212,2157894736,0,1,1.01E+13,6.43E+11,0.454545455,1,0.909090909,0.818181818,0.636363636,1,0.454545455,0.272727273,0.545454545,0.090909091,0.181818182,0.090909091,0.272727273,0,0,0,0,0.090909091,0.090909091,0.090909091,0,0,0,0,0.090909091,0,0,0,0,0,0.090909091,0.818181818,0.090909091,0.272727273,0.090909091,0.181818182,0.090909091,0,0.090909091,0.181818182,0.454545455,0.272727273,1,0.545454545,0.454545455,0.454545455,0.272727273,0.090909091,0.363636364,0.090909091,0.090909091,0.090909091,0.090909091,0.181818182,0.090909091,0.090909091,0,0.090909091,0,0.090909091,0.090909091,0,0,0,0,0,0,0.090909091,0,0,0,0.090909091,11,FALSE,315789474,0.36,13684210526,52631578,127,10,18,-77.92204081,1,0.078740157,0.141732283,0.819354839,0.064516129,0.116129032,2,6.739130435,155,91,155,0.587096774,0,0,0,0,0,0,0,0,0,0,0.348387097,0,460.9263275,1,1,1,in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006493506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7eaefc97fbf6af12e930528151f86eb91bafh,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,-1,-1,0,1,1.18E+13,1.89E+12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,0,1,,,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,cn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25558d24bca82beef0f9db4ba1fe2045ynnvq,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,6.040254711,2.09E+12,54105263158,0,1,9.62E+12,1.87E+12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2,TRUE,4368421053,0,58421052632,3736842106,6,0,2,-2.995732274,1,0,0.333333333,0.75,0,0.25,1,1,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,8.525161361,1,1,1,id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88ae7a35e374a6fddd079ebb28c822eeohwse,0,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.242453325,1.749970706,3.5,3.3,0.451612903,0.451612903,1,0.03125,85.05446702,33000000000,-1,0,1,4.63E+12,5.13E+12,0,0.666666667,0,0,0.333333333,0,1,1,0.666666667,0.666666667,0.666666667,1,0,1,0.333333333,1,0.666666667,0,0.666666667,0,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,3,TRUE,4157894736,0.03030303,33000000000,210526316,5,29,0,-21.05270052,0.172413793,1,0,0.147058824,0.852941176,0,3.5,3.4,34,1,34,0.029411765,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57db69e32163f3e486dc6ef7d615aa12usje6,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0.5,0,-1,-1,0,0.5,3.84E+13,4.16E+12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,TRUE,473684210,0,,,0,1,1,0,0,1,1,0,0.5,0.5,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,1,1,in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d1be739798ba0745a1fd72ac918a9f1929hei,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.2,0.066666667,0.066666667,1,0.416666667,21.85901667,8.28E+11,4236842106,0,0.142857143,5.55E+12,6.83E+13,0.333333333,0.333333333,0,0,0.333333333,0,0,0,0,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,1,0,0,0.333333333,0,0,0,0,0,0.333333333,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0,3,TRUE,684210526,0.214285714,5.58E+11,1473684212,2,9,3,-2.533696814,0.222222222,1,0.333333333,0.142857143,0.642857143,0.214285714,1,1.4,14,7,14,0.5,0,0,0,0,0,0,0,0,0,0,0.357142857,0,18.68096284,1,1,1,in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
