outcome,payment_account_prefix_same_as_address_prefix,payment_account_infrequent_account,payment_account_rare_account,bids_per_auction_per_ip_entropy_median,bids_per_auction_per_ip_entropy_mean,ips_per_bidder_per_auction_median,ips_per_bidder_per_auction_mean,only_one_user,ip_only_one_user_counts,on_ip_that_has_a_bot,on_ip_that_has_a_bot_mean,ip_entropy,dt_change_ip_median,dt_same_ip_median,num_first_bid,short,t_until_end_median,t_since_start_median,max_bids_in_hour72,sleep,dt_others_median,f_dt_others_lt_cutoff,dt_self_median,dt_self_min,monday,tuesday,wednesday,balance,bids_per_auction_median,bids_per_auction_mean,n_bids,n_urls,n_bids_url,f_urls,vasstdc27m7nks3,url_entropy,countries_per_bidder_per_auction_median,countries_per_bidder_per_auction_mean,countries_per_bidder_per_auction_max
0,1,0,0,0,0.038508177,1,1.333333333,0.2,0.2,1,0.4,49.8149161,3.46E+11,-1,0,1,5.96E+12,4.49E+12,3,1,8105263158,0.043478261,3.46E+11,5210526316,7,12,5,-1.486058891,1,1.333333333,24,1,24,0.041666667,1,0,1,1.166666667,2
0,0,0,0,0.693147181,0.693147181,3,3,0.5,0.5,0,0,0.693147181,3.23E+12,-1,0,1,6.85E+12,6.79E+12,1,1,52631578,0.666666667,3.23E+12,1.99E+12,0,2,1,-0.693147181,3,3,3,2,3,0.666666667,0.333333333,0.693147181,1,1,1
0,0,0,0,0,0,1,1,0,0,1,1,1.791759469,2.53E+12,-1,0,1,3.06E+12,7.71E+12,1,1,12236842104,0,2.53E+12,1.45E+12,0,1,3,-1.098612289,1,1,4,2,4,0.5,0.75,1.098612289,1,1,1
0,0,0,1,0,0,1,1,0,0,1,1,0,-1,-1,0,0,2.77E+12,7.45E+13,1,1,17368421052,0,,,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1
0,0,0,0,0,10.32439911,2,5.608695652,0.323144105,0.323144105,1,0.260162602,601.0290792,15473684212,2157894736,0,1,1.01E+13,6.43E+11,11,0,315789474,0.36,13684210526,52631578,127,10,18,-77.92204081,2,6.739130435,155,91,155,0.587096774,0.348387097,460.9263275,1,1,1
0,0,0,0,0,0,1,1,0,0,1,1,0,-1,-1,0,1,1.18E+13,1.89E+12,1,1,0,1,,,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1
0,0,1,0,0,0,1,1,0,0,1,1,6.040254711,2.09E+12,54105263158,0,1,9.62E+12,1.87E+12,2,1,4368421053,0,58421052632,3736842106,6,0,2,-2.995732274,1,1,8,8,8,1,0,8.525161361,1,1,1
0,0,0,0,1.242453325,1.749970706,3.5,3.3,0.451612903,0.451612903,1,0.03125,85.05446702,33000000000,-1,0,1,4.63E+12,5.13E+12,3,1,4157894736,0.03030303,33000000000,210526316,5,29,0,-21.05270052,3.5,3.4,34,1,34,0.029411765,1,0,1,1,1
0,0,1,0,0,0,1,1,0,0,1,0.5,0,-1,-1,0,0.5,3.84E+13,4.16E+12,2,1,473684210,0,,,0,1,1,0,1,1,2,2,2,1,0.5,0,1,1,1
0,0,1,0,0,0,1,1.2,0.066666667,0.066666667,1,0.416666667,21.85901667,8.28E+11,4236842106,0,0.142857143,5.55E+12,6.83E+13,3,1,684210526,0.214285714,5.58E+11,1473684212,2,9,3,-2.533696814,1,1.4,14,7,14,0.5,0.357142857,18.68096284,1,1,1
0,0,0,0,0,0,1,1.333333333,0,0,1,0.5,4.094344562,2.24E+12,2894736842,0,1,9.21E+12,1.24E+12,3,1,1315789473,0,26368421052,2210526316,4,2,0,-1.791759469,2,2,6,6,6,1,0.166666667,4.787491743,1,1,1
0,0,0,1,0,27.05630762,1,5.396825397,0.191256831,0.191256831,1,0.31825273,4879.094368,18105263158,2263157892,0,0.068693694,1.34E+13,1.22E+13,35,0,52631580,0.718358039,17421052632,0,300,315,273,-1.539105529,1,7.047619048,888,99,888,0.111486486,0.505630631,1616.487117,1,1.253968254,27
0,0,0,1,0,0,1,1,0.333333333,0.333333333,0,0,0,6.25E+12,-1,0,1,5.27E+12,8.35E+12,1,1,15394736842,0,6.25E+12,6.25E+12,0,1,1,0,1,1,2,2,2,1,0,0,1,1,1
0,0,0,1,0,0,1,1,0,0,0,0,0,1.05E+13,-1,0,0,6.97E+13,7.36E+12,1,1,1.36E+11,0,1.05E+13,1.05E+13,1,0,1,0,1,1,2,1,2,0.5,0,0,1,1,1
0,0,0,0,0,0,1,1,0,0,1,0.5,0,7.52E+11,-1,0,0,7.62E+11,7.61E+13,1,1,90631578947,0,7.52E+11,7.52E+11,0,0,2,-0.693147181,1,1,2,2,2,1,0.5,0,1,1,1
0,0,0,0,7.696047323,117.7339441,7.5,32.46428571,0.382037534,0.382037534,1,0.31990794,5363.224345,5105263156,236842106,3,0.972885033,9.26E+12,1.92E+12,38,0,3105263158,0.035928144,5105263156,0,548,348,26,-295.0797526,7.5,32.92857143,922,1,922,0.001084599,1,0,1,1.035714286,2
0,1,0,0,0,2.71079757,1,2.751824818,0.130612245,0.130612245,1,0.317073171,2088.366712,11842105262,2736842105,1,1,6.85E+12,4.94E+12,33,0,1052631578,0.263922518,9947368422,52631578,158,120,148,-2.784047639,2,3.109489051,426,44,426,0.103286385,0.474178404,579.7242257,1,1.072992701,3
0,0,0,0,0,13.8040163,1,5.975460123,0.207218419,0.207218419,1,0.256704981,6574.716604,8000000000,289473684,2,1,4.66E+12,8.00E+12,182,0,842105264,0.15926893,5105263160,0,332,348,594,-48.26000429,2,7.81595092,1274,86,1274,0.067503925,0.382260597,3607.686937,1,1.674846626,11
0,0,0,1,0.895879735,3.648396737,3,4,0.4,0.4,1,0.133333333,33.50507345,4.02E+11,1.51E+11,0,0.555555556,3.92E+12,3.98E+12,3,1,1289473685,0.222222222,2.57E+11,16368421052,12,2,4,-4.120661871,3,4.5,18,9,18,0.5,0.222222222,25.13406277,1,1.25,2
