outcome,payment_account_prefix_same_as_address_prefix,payment_account_infrequent_account,payment_account_rare_account,bids_per_auction_per_ip_entropy_median,bids_per_auction_per_ip_entropy_mean,ips_per_bidder_per_auction_median,ips_per_bidder_per_auction_mean,only_one_user,ip_only_one_user_counts,on_ip_that_has_a_bot,on_ip_that_has_a_bot_mean,ip_entropy,dt_change_ip_median,dt_same_ip_median,num_first_bid,short,t_until_end_median,t_since_start_median,max_bids_in_hour72,sleep,dt_others_median,f_dt_others_lt_cutoff,dt_self_median,dt_self_min,monday,tuesday,wednesday,balance,bids_per_auction_median,bids_per_auction_mean,n_bids,n_urls,n_bids_url,f_urls,vasstdc27m7nks3,url_entropy,countries_per_bidder_per_auction_median,countries_per_bidder_per_auction_mean,countries_per_bidder_per_auction_max
,0,0,0,0,0,1,1.333333333,0,0,1,0.5,1.791759469,5.16E+12,-1,0,0,3.60E+13,3.60E+13,2,1,131578947,0.5,5.16E+12,4.55E+12,2,2,0,-0.693147181,1,1.333333333,4,3,4,0.75,0.5,1.791759469,1,1.333333333,2
,1,0,0,0,0,1,1,0.5,0.5,0,0,0.693147181,-1,105263156,0,0,7.63E+13,4.78E+11,2,1,29263157896,0,105263156,105263156,2,0,1,-0.693147181,1.5,1.5,3,1,3,0.333333333,1,0,1,1,1
,0,0,1,0,0,1,1.071428571,0.15,0.15,1,0.25,17.359207,7736842106,1315789472,0,0.823529412,4.08E+12,6.59E+12,13,1,4421052631,0.0625,2315789473,263157894,0,0,17,-15.55907928,1,1.214285714,17,2,17,0.117647059,0,8.892886141,1,1,1
,0,0,0,0,0.622804128,1,1.533333333,0.144508671,0.144508671,1,0.310077519,580.2510069,1.12E+11,3605263158,0,0.405405405,9.04E+12,8.92E+12,11,0,4078947368,0.070422535,1.02E+11,210526316,47,54,47,-0.316302693,1,1.644444444,148,80,148,0.540540541,0.439189189,384.8401125,1,1,1
,0,0,0,0,0,1,1.15,0.323529412,0.323529412,1,0.176470588,48.47118135,8131578947,-1,0,0.304347826,6.67E+13,5.69E+12,5,1,60105263156,0,8131578947,6421052630,3,14,6,-3.827864697,1,1.15,23,1,23,0.043478261,1,0,1,1,1
,0,0,0,0,1.167987591,1,1.90625,0.09375,0.09375,1,0.4,956.8057145,33078947368,14684210528,1,1,4.54E+12,6.53E+12,10,0,2315789474,0.118181818,28684210526,0,73,70,89,-1.309190776,1,2.416666667,232,153,232,0.659482759,0.125,901.8644717,1,1.03125,2
,1,0,0,0,0,1,1,0.2,0.2,1,0.5,1.791759469,1.37E+12,-1,0,1,9.75E+12,1.67E+12,1,1,2131578948,0,1.37E+12,5.34E+11,3,1,0,-1.098612289,1,1,4,4,4,1,0.25,1.791759469,1,1,1
,0,0,1,0,2.241340064,1,2.170886076,0.160087719,0.160087719,1,0.407692308,1809.022888,19578947368,7421052630,1,1,6.02E+12,5.37E+12,21,0,2000000000,0.246648794,17763157895,52631578,122,125,136,-0.417716784,1,2.424050633,383,99,383,0.25848564,0.263707572,1328.637362,1,1.044303797,7
,0,0,0,0,0,1,1,0,0,1,1,0,-1,-1,0,0,6.56E+11,7.66E+13,1,1,0,1,,,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1
,0,0,0,0,22.75956171,1,7,0.302197802,0.302197802,1,0.327731092,486.016114,67157894736,36684210528,0,1,6.51E+12,6.36E+12,5,0,52631580,0.704,61894736842,105263158,47,45,35,-0.985987565,1,7.470588235,127,27,127,0.212598425,0.322834646,233.0230645,1,1.823529412,15
